cell_id,s1_2050,s2_2050,s3_2050,s4_2050,mf2050,polf2050,secf2050,susf2050
MEK_22,195.5183141166,198.7765092782,198.7765092782,194.7054532619,0,0,0,0
MEK_23,75.6896327673,75.4865042903,76.5030863974,75.4865042903,0,0,0,0
MEK_24,646.1364071172,647.77749506,651.1845235488,642.0517043632,0,0,0,0
MEK_25,924.7005671805,933.4998594059,941.6798708377,926.2921731774,0,638.8862626386,1385.3318525297,1195.3230410476
MEK_28,1969.4905201589,1978.5235665014,1991.2591293599,1966.2163245989,0,0,0,0
MEK_29,66.9506457688,66.9506457687,67.3451882878,66.9506457688,0,0,0,0
MEK_30,814.8642643069,820.6323468309,830.5137607641,812.3948317346,72.6757197055,435.6826477389,498.8938075768,435.682647738
MEK_31,336.3618231226,337.1916582444,340.4981809431,335.5346483885,0,0,0,5.00008923154383E-011
MEK_32,1175.5034149491,1177.9881058933,1198.7072021926,1173.0179515058,0,80.8966089139,202.9589052382,181.5430757204
MEK_33,172.1620309835,303.8336370099,396.3843424043,183.9875451585,0,0,0,0
MEK_34,340.5932844829,496.266560561,559.8397708019,341.1490674291,0,0,0,0
MEK_35,915.1461393456,889.7872032219,929.225597418,903.7087631196,763.475003501,765.791740331,765.791740331,765.791740331
MEK_36,320.0610531101,311.6174704672,320.9157436011,311.1535736329,24.426657746,1578.7757506285,1738.089099066,1653.497037422
MEK_37,764.6650613929,927.0995827906,977.2145449309,741.9782465886,11.4435390575,11.4435390575,11.4435390575,11.4435390575
MEK_38,884.1006899007,865.238907176,887.0902684158,872.0349508904,25.7779501663,25.7779501663,25.7779501663,25.7779501663
MEK_39,600.1515196757,567.6837669201,591.7651124143,576.4947879563,0,0,0,0
MEK_41,576.7262480613,577.5306963663,579.1430872494,577.5306963663,73.963564528,73.963564528,73.963564528,73.963564528
MEK_42,307.993299977,307.993299977,307.993299977,307.993299977,35.9369488908,35.9369488908,35.9369488908,35.9369488908
MEK_43,10.9329249216,0,0,0,0,0,0,0
WAN_1,0,0,0,0,28.166493801,28.166493801,28.166493801,102.480911262
WAN_2,637.9576463099,643.0863853739,640.5220124989,640.5220124989,0,0,50.5920496029,50.5920496032
WAN_3,19415.3567816506,19555.3309589327,19439.9134076017,19512.100809137,2.00088834390044E-010,847.1178234602,932.4737014174,847.1178234604
WAN_4,0,0,0,0,474.5938394238,523.9473773438,474.5938394238,474.5938394238
WAN_5,459.0069634694,468.4300314151,464.1327824701,466.6958103724,232.466053047,251.279641801,232.466053047,251.279641801
WAN_6,0,0,0,0,0,0,54.1629904931,0
WAN_7,113.9317388932,116.4958767525,113.9317388862,114.7862850642,0,0,0,0
WAN_8,53968.1419381774,53842.467912814,53959.1104853367,53927.4208448352,0,511.4417391367,513.930125646,513.930125645
WAN_9,3871.6524316372,3872.4821187123,3871.6524316372,3871.6524316372,0,0,0,0
WAN_14,97504.6097366812,99330.190902278,97485.0264079166,97491.9401371811,0,0,0,0
WAN_15,0,0,0,0,0,169.7303136978,252.5394064535,252.539406454
WAN_16,4889.3663015088,5321.62641982,4890.2050364155,4889.3639055635,85.2726805363,85.272680536,85.2726805367,85.2726805363
WAN_17,24063.3379737859,24253.8635636156,24083.064950738,24113.0302701984,0,1.3553526791,86.6280332159,1.3553526791
,,,,,29.4586723974,272.9740120072,272.9740120113,272.9740120103
,,,,,0,227.8875326855,227.8875326856,227.8875326863
,,,,,0,349.4446701813,988.3062458693,563.2627722941
,,,,,0,85.2640629763,85.2640629763,0
,,,,,79.813324161,79.813324161,79.813324161,79.813324161
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,5.4238323722,5.4238323722,5.4238323722,5.4238323722
,,,,,41.902815923,41.9028159235,41.9028159223,41.902815923
,,,,,13.87566821,25.7300591874,164.2497087225,79.0313678074
,,,,,0,0,0,0
,,,,,0,113.3560567819,534.3592010949,278.7629074951
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,375.2001272284,36.9080032174
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,85.0548485648,87.2955273998,85.0548485648
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,65.0880538427,65.0880538427,115.8075172614,65.0880538427
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,64.632750516,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,41.929759801,466.741306781,1175.718950837,502.4874295448
,,,,,29.6937801277,29.6937801277,294.2260174322,31.1348137528
,,,,,0,84.821880635,371.082156845,84.821880635
,,,,,33.9694459956,33.9694459956,46.8803441823,33.9694459956
,,,,,0,0,163.4124372149,0
,,,,,0,0,227.5277040519,0
,,,,,0,0,9.0787584279,0
,,,,,442.107681361,557.5725357926,640.8003686216,640.8003686216
,,,,,120.1238412648,120.1238412648,120.1238412648,120.1238412648
,,,,,0,334.1402206015,335.5220005654,335.5220005644
,,,,,24.3405846223,24.3405846223,0,24.3405846223
,,,,,30.039402837,30.039402837,30.039402837,30.039402837
,,,,,0,0,0,0
,,,,,90.6546002366,90.6546002366,123.7064657193,90.6546002366
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,525.0375627,525.0375627,0,525.0375627
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,4.5492560619,0
,,,,,78.0678497239,78.0678497239,0,78.0678497239
,,,,,98.5006731722,98.5006731722,0,98.5006731722
,,,,,0,0,0,0
,,,,,497.1880777123,497.1880777123,497.1880777123,502.606214833
,,,,,0,0,0,0
,,,,,53.55204539,53.55204539,77.3633750006,53.55204539
,,,,,963.287955681,985.362614731,872.302167451,963.287955681
,,,,,281.705493867,281.705493867,245.052814553,281.705493867
,,,,,1583.443939552,1619.036747092,1013.997499442,1398.292450712
,,,,,1202.29521245,1202.29521245,1202.29521245,1202.29521245
,,,,,0,0,0,0
,,,,,1095.795123754,1527.929112894,473.433147194,927.614851704
,,,,,39.224066906,39.224066906,35.93919754,39.224066906
,,,,,159.839255964,440.791699905,2139.429747958,440.7916999052
,,,,,0,0,75.5037201104,0
,,,,,0,296.598598235,863.7120517193,375.6326279184
,,,,,0,222.5403584607,361.4390988577,295.645349918
,,,,,0,47.0959342695,830.4878519276,57.9299923866
,,,,,692.940105823,668.161046134,2531.4232598716,668.1610461328
,,,,,613.4660205,691.29034959,170.88514337,595.82799781
,,,,,0,0,0,0
,,,,,252.19078059,292.1138871438,610.67342555,237.6780448918
,,,,,37.11348036,37.1134803655,37.1134803655,37.113480366
,,,,,420.015551723,420.0155517208,155.3194851408,420.0155517208
,,,,,209.0431002413,357.413579444,408.6881581704,323.2325212983
,,,,,584.87832526,864.1122651999,1123.588626072,947.1823039297
,,,,,2215.58170545,2714.4478331126,1989.9769650798,2359.2019078324
,,,,,141.88060824,168.4643262454,197.3641528832,168.4643262454
,,,,,28.7361295276,32.8004561195,0,28.7361295276
,,,,,48.3683247311,48.3683247311,48.3683247311,48.3683247311
,,,,,0,0,61.2556458376,0
,,,,,305.357713493,425.312153525,704.8073044098,425.312153525
,,,,,1120.1584292537,1142.2306374888,196.3575777075,1140.4811037812
,,,,,0,62.3717691579,587.6729867727,354.2673274253
,,,,,0,0,0,0
,,,,,0,163.951974967,0,0
,,,,,0,0,0,0
,,,,,25.3525722064,25.3525722064,0,0
,,,,,143.7108577,143.7108577,18.1740892773,138.744463572
,,,,,0.6016482353,0.6016482353,0,0.6016482353
,,,,,0,27.98889179,35.7394975322,27.98889179
,,,,,0,193.515185735,422.611949656,193.515185735
,,,,,956.267297387,1138.490158267,733.860765706,956.267297387
,,,,,0,83.5810285853,507.0763818795,164.431205191
,,,,,2417.8364592433,2588.8336360946,2665.8129865643,2465.9400925603
,,,,,1523.077122946,1704.779970791,1534.366032967,1607.820857031
,,,,,476.467488924,708.875368794,574.456292894,708.875368794
,,,,,439.543358407,1085.675535888,516.744939278,439.543358407
,,,,,237.912518674,709.576675128,237.912518674,237.912518674
,,,,,0,45.5879162709,0,0
,,,,,0,0,0,0
,,,,,172.0472833714,561.6204099544,1584.4025584954,749.1833350964
,,,,,0.12823453,0.12823453,0.12823453,0.12823453
,,,,,80.17684948,80.17684948,80.17684948,80.17684948
,,,,,89.54173358,89.54173358,89.54173358,89.54173358
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,7.96218341,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,142.6671852264,142.6671852269,142.6671852264
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,146.1153015099,146.1153015099,146.1153015099
,,,,,0,692.0971047088,692.0971047082,692.0971047081
,,,,,0,485.2720842491,485.272084249,485.272084249
,,,,,0,2.4212967561,6.2289613049,6.2289613036
,,,,,0,8.00355337560177E-010,0,1.40016709337942E-009
,,,,,202.2069140855,2326.7656367563,2326.7656367539,2326.7656367503
,,,,,0,191.0279748126,306.103896105,306.1038961049
,,,,,1355.666452349,2144.7005613244,2144.7005613251,2144.7005613263
,,,,,1723.2483605246,1968.9338965092,1968.9338965046,1968.9338965063
,,,,,0,1539.8519320839,1539.8519320858,1539.8519320854
,,,,,216.9963078826,858.6217064989,858.6217064995,858.6217064992
,,,,,0,139.0029850728,139.0029850728,139.0029850728
,,,,,0,348.6611871963,489.672250121,489.672250121
,,,,,256.3350633809,256.3350633759,256.3350633813,256.3350633839
,,,,,0,0,0,0
,,,,,11.246598088,412.8668868899,412.8668868909,412.8668868909
,,,,,551.984965512,551.9849655027,551.9849655085,551.9849655076
,,,,,0,0,0,0
,,,,,899.5298418336,964.5890505587,964.5890505597,964.5890505598
,,,,,3846.0730649062,6595.6612986035,6595.6612985967,6595.6612986123
,,,,,0,276.607783471,148.329462902,70.2725457098
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,47.1030002476,47.8056275412,47.805627541,47.8056275412
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,34.5287895085,34.5287895086,34.5287895086,34.5287895086
,,,,,2527.774289946,2870.373540676,2869.5524946672,2922.6538703923
,,,,,0,30.2594382511,30.259438251,30.259438251
,,,,,0,0,0,0
,,,,,0,250.477154462,250.477154469,250.47715446
,,,,,0,895.0704092984,895.0704092965,895.0704092979
,,,,,0,94.6066142185,0,180.078264625
,,,,,0,0,0,0
,,,,,4.50063453172334E-009,105.92211565,105.9221156548,105.92211565
,,,,,0,323.905555357,169.9741342066,169.974134207
,,,,,1.5571393858,104.3570726045,37.4566017167,37.4566017167
,,,,,0,0.4099966544,0,0
,,,,,0,27.7086137156,27.7086137159,27.7086137156
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,1219.531986574,732.869980342,670.012237624
,,,,,0,2148.8647182805,2148.86471828,2148.864718287
,,,,,0,1698.9340242445,1698.9340242443,1698.9340242467
,,,,,0,601.0443442032,601.044344205,601.0443442055
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,854.6945087047,76.2378124302,6.59952092973981E-010
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,114.1712621446,114.1712621474,114.1712621569
,,,,,0,85.6978705072,85.6978705071,85.6978705071
,,,,,0,651.265918701,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,20.8484617347,20.8484617342,20.8484617342,20.8484617342
,,,,,7299.5103452595,7582.1693658053,6401.3586986225,7716.5115261173
,,,,,0,277.482886373,277.482886378,277.482886377
,,,,,0,188.232217792,102.753176232,188.232217792
,,,,,80.3681552798,80.36815528,80.36815528,80.36815528
,,,,,3119.5829837697,3233.7607784172,2669.8444440537,3400.2730602494
,,,,,231.395526397,231.395526396,231.395526396,231.395526396
,,,,,252.9878060604,302.716909071,213.2514856557,204.9995940121
,,,,,272.769736884,293.3494496123,272.769736886,293.3494496033
,,,,,67.782562612,67.7825626116,67.7825626116,67.7825626116
,,,,,791.390246545,1027.9306364033,594.8865175759,600.545833713
,,,,,0,18.347648588,18.3476485884,18.3476485884
,,,,,72.1391289349,72.1391289349,72.1391289349,72.1391289349
,,,,,442.3029994899,747.9333197379,1026.4661587757,894.9199339119
,,,,,0,0,51.9090460659,14.1540273533
,,,,,0,332.244015449,370.822624832,332.244015449
,,,,,0,0,216.9312613131,27.2157691303
,,,,,0,0,0,0
,,,,,490.752836843,492.8342483792,823.7191202276,527.4310882313
,,,,,139.7461523722,295.7120831436,376.3695642478,329.4870816004
,,,,,210.451856729,332.3857332076,618.9418515213,376.7950424946
,,,,,0,19.574203636,0,28.446618849
,,,,,25.8838730093,25.8838730093,25.8838730093,25.8838730093
,,,,,0,203.6526663997,292.4556197314,210.9427683011
,,,,,0,0,41.5166923255,0
,,,,,0,0,0,0
,,,,,0,2.99905877909623E-010,204.080051714,0
,,,,,0,0,0,0
,,,,,0,0,30.9837115145,0
,,,,,0,0,5.4076081806,0
,,,,,14.433194597,14.4331945968,0,50.4213799308
,,,,,0,0,207.649473901,0
,,,,,0,394.4967539047,607.4640905429,607.4640905437
,,,,,331.7416679439,331.741667942,321.598872162,331.741667942
,,,,,303.252093549,303.252093551,216.494632633,303.252093551
,,,,,0,0,0,0
,,,,,0,7.947857154,161.202356308,56.061689058
,,,,,0,0,0,0
,,,,,4.99994712299667E-010,15.2903573695,15.2903573695,15.2903573695
,,,,,1.00044417195022E-010,609.2569221312,1127.4620135318,1058.6970057683
,,,,,0,0,0,0
,,,,,190.0234940651,275.4043529307,124.506754762,372.805751192
,,,,,0,0,0,0
,,,,,166.9011623347,187.1023683392,1689.7272740259,958.7039000703
,,,,,0,45.5124205782,45.512420583,45.512420579
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,308.832860343,220.9507502864,327.708061345
,,,,,0,0,0,0
,,,,,7.99929011918721E-011,7.99929011918721E-011,7.99929011918721E-011,7.99929011918721E-011
,,,,,231.8670930773,171.8015208881,210.7237159281,216.4827455453
,,,,,0,0,0,0
,,,,,47.0402547792,126.6961974489,75.4353143769,155.0912570466
,,,,,0,162.615835344,169.984150374,169.984150378
,,,,,64.1606751504,74.2055092887,165.5220871989,259.5500597824
,,,,,0,0,130.8946450876,130.8946450874
,,,,,0,21.0238833016,0,0
,,,,,0,0,0,0
,,,,,0,1141.12033428,0,0
,,,,,0,0,0,0
,,,,,32.2889496771,16540.871028935,21.2322042011,0
,,,,,333.2131853914,9938.39260481,256.48304246,255.8950154037
,,,,,0,29454.1150182865,0,0
,,,,,4.077069226,5424.754750646,112.816889399,90.1828918245
,,,,,0,1146.2734849494,0,959.4188435994
,,,,,0,521.202380415,0,521.202380415
,,,,,0,603.9662328691,0,468.623845376
,,,,,80.3460179751,520.9458835891,0,520.9458835891
,,,,,240.0158084968,240.0158084968,164.4986113992,547.7649693098
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,1435.5034977556,0,1924.5339489266
,,,,,0,0,60.4306452921,0
,,,,,0,196.3265255909,0,212.7954752493
,,,,,0,0,0,15.6233756694
,,,,,410.0859422319,539.6526015536,399.6194510254,583.905851902
,,,,,0,0,0,38.899890108
,,,,,0,0,0,0
,,,,,0,0,0,0
,,,,,0,142.857179119,55.743666715,142.857179119
,,,,,0,1126.3158277969,0,1125.9377563969
,,,,,0,0,0,0
,,,,,0,0,904.7774447492,0
,,,,,0,0,0,0
,,,,,112.6609172948,373.1570416668,0,373.1570416668
,,,,,0,63.049878517,0,63.049878517
,,,,,0,0,0,143.9841831559
,,,,,0,125.5098177895,0,448.8611402773
,,,,,286.9428059027,1137.8610866257,0,731.6216251887
,,,,,0,0,0,0
,,,,,2564.8438422249,2610.4918669238,0,8851.7027665187
,,,,,0,137.3219928556,0,580.3940428611
,,,,,7291.2306568428,1901.0064353278,0,18586.9878793508
,,,,,783.7899682501,0,0,6608.2870563266
,,,,,613.7380760439,1670.6057240699,0,2771.3148217199
,,,,,0,1602.673253504,0,1521.836224852
,,,,,0,49.9192902639,0,49.9192902639
,,,,,0,367.910307605,0,9145.72311848
,,,,,0,29.2168854301,0,0
,,,,,9134.2059853731,29192.1532493731,4244.9220195831,17095.5245810731
,,,,,67424.7272667992,107153.710839627,67296.8518037127,69906.7952068597
,,,,,2561.127881311,9467.185428351,22.750544465,4525.242846981
,,,,,5828.9272241006,48783.6143861626,1991.0711445956,7281.7120774626
,,,,,1415.3973624335,2785.8123267135,1415.3973624335,1415.3973624335
