cell_id,s1_2050,s2_2050,s3_2050,s4_2050
GLR_327,200.6606212543,204.9302367923,394.3822321023,376.4001394191
GLR_328,212.9801686934,212.9801686934,214.6102224694,211.8153330123
GLR_329,0,0,0,0
GLR_330,0,0,0,0
GLR_331,0,0,0,0
GLR_332,0,0,0,0
GLR_333,0,0,0,0
GLR_334,19.6614766466,19.6395036455,53.1615234527,6.9365305727
GLR_335,595.0129420342,592.4492228252,579.3728870088,543.8448120773
GLR_337,0,0,0,0
GLR_338,6.7132832052,6.7132832052,6.1154048508,5.1120952735
GLR_339,0,0,0,0
GLR_340,263.0288464251,263.0288464251,247.42444941,245.7148815126
GLR_341,155.9128937612,155.9128937612,150.8416005516,150.8416005516
GLR_342,2173.8593046248,2186.405032839,2369.9066640881,2375.4934891573
GLR_343,1849.4418752542,1847.7070552542,1858.3687204695,1771.4711292071
GLR_344,0,0,0,0
GLR_346,1068.0641361325,1071.3777908575,1084.749180426,1062.0479903538
GLR_348,1349.3725226065,1345.9534223265,1328.0035609336,1299.4995434836
GLR_349,495.1678894275,496.0225720635,512.6662738853,532.3240774024
GLR_351,93.7708733429,93.7708733429,93.7708733429,93.7708733429
GLR_352,30.9927265309,33.5450849308,53.7296416127,54.2764176757
GLR_355,189.0423041279,189.0423041279,189.0423041279,189.0423041279
GLR_359,34.7568259187,34.7568259187,34.7568259187,34.7568259187
GLR_361,123.5019334777,108.9133674709,82.423691287,11.6964020691
GLR_365,0,0,0,0
GLR_367,2349.5525168959,2346.1960962289,2345.1654107343,2312.9964564944
GLR_370,0,0,0,0
GLR_372,0,0,0,0
GLR_373,0,0,0,0
GLR_374,211.2963485207,208.1559261813,185.8671579374,145.2372138123
GLR_378,230.5816473161,231.7587488774,189.3000353798,191.5790492087
GLR_381,684.1080982525,658.7279553819,667.2636458041,556.1280797883
GLR_389,3752.8051880289,3741.2069795748,3923.8524813202,3916.7079277428
GLR_391,0,0,0,0
GLR_392,73.0794171868,71.8743812569,135.3302712625,126.4421435837
GLR_393,0,0,0,0
MEK_7,12.8304574572,12.8304574572,12.8304574572,12.8304574572
MEK_9,202.5539557406,200.9754334272,204.1517034696,201.772694551
MEK_10,27.2930608827,27.2930608827,27.2930608827,27.2930608827
MEK_11,17.1913331833,17.1913331833,17.1913331833,17.1913331833
MEK_12,191.233748475,191.233748475,191.233748475,191.233748475
MEK_13,5.0501614366,5.0501614366,5.0501614366,5.0501614366
MEK_15,213.7233038545,214.526448633,215.3294669605,213.7233038546
MEK_16,1556.5375591146,1503.3712902018,1543.5027961839,1537.0009962563
MEK_17,1408.7807061862,1416.0933943528,1426.6633955261,1404.724726765
MEK_18,351.073387126,334.3726443096,359.1890785435,350.2567880965
MEK_19,134.9408470072,134.9408470071,134.9408470072,134.9408470072
MEK_22,195.5183141166,198.7765092782,198.7765092782,194.7054532619
MEK_23,75.6896327673,75.4865042903,76.5030863974,75.4865042903
MEK_24,646.1364071172,647.77749506,651.1845235488,642.0517043632
MEK_25,924.7005671805,933.4998594059,941.6798708377,926.2921731774
MEK_28,1969.4905201589,1978.5235665014,1991.2591293599,1966.2163245989
MEK_29,66.9506457688,66.9506457687,67.3451882878,66.9506457688
MEK_30,814.8642643069,820.6323468309,830.5137607641,812.3948317346
MEK_31,336.3618231226,337.1916582444,340.4981809431,335.5346483885
MEK_32,1175.5034149491,1177.9881058933,1198.7072021926,1173.0179515058
MEK_33,172.1620309835,303.8336370099,396.3843424043,183.9875451585
MEK_34,340.5932844829,496.266560561,559.8397708019,341.1490674291
MEK_35,915.1461393456,889.7872032219,929.225597418,903.7087631196
MEK_36,320.0610531101,311.6174704672,320.9157436011,311.1535736329
MEK_37,764.6650613929,927.0995827906,977.2145449309,741.9782465886
MEK_38,884.1006899007,865.238907176,887.0902684158,872.0349508904
MEK_39,600.1515196757,567.6837669201,591.7651124143,576.4947879563
MEK_41,576.7262480613,577.5306963663,579.1430872494,577.5306963663
MEK_42,307.993299977,307.993299977,307.993299977,307.993299977
MEK_43,10.9329249216,0,0,0
WAN_1,0,0,0,0
WAN_2,637.9576463099,643.0863853739,640.5220124989,640.5220124989
WAN_3,19415.3567816506,19555.3309589327,19439.9134076017,19512.100809137
WAN_4,0,0,0,0
WAN_5,459.0069634694,468.4300314151,464.1327824701,466.6958103724
WAN_6,0,0,0,0
WAN_7,113.9317388932,116.4958767525,113.9317388862,114.7862850642
WAN_8,53968.1419381774,53842.467912814,53959.1104853367,53927.4208448352
WAN_9,3871.6524316372,3872.4821187123,3871.6524316372,3871.6524316372
WAN_14,97504.6097366812,99330.190902278,97485.0264079166,97491.9401371811
WAN_15,0,0,0,0
WAN_16,4889.3663015088,5321.62641982,4890.2050364155,4889.3639055635
WAN_17,24063.3379737859,24253.8635636156,24083.064950738,24113.0302701984
