cell_id,s1_2050,s2_2050,s3_2050,s4_2050
GLR_131,65.1705498501,59.1893611408,46.0728024964,25.487170253
GLR_133,769.3265052986,764.2051132992,716.7159079387,628.1937018015
GLR_134,1514.3559934908,1525.4558071788,1577.1966258108,1568.8319473905
GLR_135,591.6970835477,600.2350544335,619.7922690759,619.7922690759
GLR_138,685.2401699787,773.1690270837,841.1877542688,772.4632999688
GLR_139,0,0,30.0393891479,28.2220196713
GLR_142,114.5661057941,136.5443452979,277.5465922758,274.375131092
GLR_144,567.6051962453,754.7805668967,872.6508390806,1040.0508332816
GLR_152,0,0,103.4989845099,98.1153906788
GLR_199,3.8297102606,0.7795281629,3.8305445412,3.8305445412
GLR_200,9.1544029311,9.0248548515,6.8509654271,0.2896466982
GLR_211,735.988028743,735.2631781459,730.7993438639,722.7399827812
GLR_226,321.9818774805,321.9818774805,321.9818774805,321.9818774805
GLR_229,1429.1147244271,1429.1147244271,1429.1147244271,1429.1147244271
GLR_277,0,0,0,0
GLR_278,22.2242208339,22.2242285907,89.3594788516,91.9184087877
GLR_279,0,0,0,0
GLR_281,0,0,0,10.2918910723
GLR_282,1124.254463057,1126.3617402385,1264.4821596069,1299.6159869379
GLR_283,884.1472542061,892.6207971282,929.6925148483,910.1519082365
GLR_284,1213.8324348629,1213.8324348629,1236.0545191658,1276.5060565905
GLR_285,1273.6241194478,1273.6240623845,1274.4383232494,1301.3955321304
GLR_286,416.5088177383,417.0257169879,916.4400786501,893.6539456442
GLR_287,360.3645172801,363.2700800896,398.7455967151,414.5521159775
GLR_288,1600.0065562184,1629.0792045884,2216.58004958,2396.7386939909
GLR_289,577.1584194793,592.0301329543,670.0547145989,789.7622253864
GLR_290,984.1225218646,1041.5697912521,1712.822930516,1782.8960955007
GLR_291,0,0,0,51.2220707848
GLR_292,877.1504108575,859.243409201,1005.0920146712,991.5632935678
GLR_293,776.931530204,780.8592634558,982.6792400973,1038.0354317661
GLR_294,1788.3664923795,1788.3664923795,1785.8045304358,1782.3885988127
GLR_295,1046.6774889274,1047.5315166702,1062.0773096484,1056.8777203691
GLR_296,0,0,215.6553285208,173.7434868851
GLR_297,1239.7715730764,1239.69585049,1256.5157010983,1289.9674834881
GLR_298,0,0,0,0
GLR_299,3096.0211460145,3096.274378767,3231.0827430368,3232.65270634
GLR_300,4195.5156588549,4246.924115703,6082.0641050332,6497.8583608899
GLR_301,0,0,107.3483912969,112.8161179181
GLR_302,0,0,0,0
GLR_303,118.3311065304,116.6225864226,136.0188305772,132.0069136883
GLR_304,0,0,0,0
GLR_305,706.2043304058,706.7450937987,796.6497492777,811.8477626142
GLR_306,25.3248639211,25.3248147402,84.7985934325,86.7367531945
GLR_307,0,0,0,0
GLR_308,0,0,0,0
GLR_309,3489.8027375816,3489.3509813275,3741.1764966148,3718.7253484285
GLR_310,734.7778223724,721.1901748792,1015.5706776387,765.1749214897
GLR_311,0,0,0,0
GLR_312,2300.3006778457,2296.8928077936,2302.70497021,2317.0383517188
GLR_313,865.0205753794,833.9454565233,1508.5224810297,1207.0917177058
GLR_314,0,0,0,0
GLR_315,0,0,0,0
GLR_316,567.8611513254,567.8611513254,558.0287180639,538.3686756653
GLR_317,1111.7544147383,1104.5029533953,1151.7623625283,970.3294453407
GLR_318,10.3959683859,10.7303707651,13.595020963,13.5657804988
GLR_319,0,0,0,0
GLR_320,0,0,0,0
GLR_321,6.8493360249,6.8493360249,6.6269269486,6.8499103072
GLR_322,27.5288906276,32.3489601516,36.5155431969,36.5155431969
GLR_323,0,0,0,0
GLR_324,399.2518857372,378.8270910269,514.9871704528,445.001616909
GLR_325,3453.0607761593,3410.5526490043,4591.6365440057,4237.9748348228
GLR_326,264.7404285083,259.9430325103,614.4911373855,583.481933635
