field_name,bd_value_change_sc4_nocons_allsp,bd_value_change_sc4_nocons_amphibia,bd_value_change_sc4_nocons_aves,bd_value_change_sc4_nocons_crenvu,bd_value_change_sc4_nocons_mammalia,bd_value_change_sc3_nocons_allsp,bd_value_change_sc3_nocons_amphibia,bd_value_change_sc3_nocons_aves,bd_value_change_sc3_nocons_crenvu,bd_value_change_sc3_nocons_mammalia,bd_value_change_sc2_nocons_allsp,bd_value_change_sc2_nocons_amphibia,bd_value_change_sc2_nocons_aves,bd_value_change_sc2_nocons_crenvu,bd_value_change_sc2_nocons_mammalia,bd_value_change_sc1_nocons_allsp,bd_value_change_sc1_nocons_amphibia,bd_value_change_sc1_nocons_aves,bd_value_change_sc1_nocons_crenvu,bd_value_change_sc1_nocons_mammalia,bd_value_imp_bas_nocons_nocons_allsp,bd_value_imp_bas_nocons_amphibia,bd_value_imp_bas_nocons_aves,bd_value_imp_bas_nocons_crenvu,bd_value_imp_bas_nocons_mammalia,bd_value_imp_sc4_nocons_allsp,bd_value_imp_sc4_nocons_amphibia,bd_value_imp_sc4_nocons_aves,bd_value_imp_sc4_nocons_crenvu,bd_value_imp_sc4_nocons_mammalia,bd_value_imp_sc3_nocons_allsp,bd_value_imp_sc3_nocons_amphibia,bd_value_imp_sc3_nocons_aves,bd_value_imp_sc3_nocons_crenvu,bd_value_imp_sc3_nocons_mammalia,bd_value_imp_sc2_nocons_allsp,bd_value_imp_sc2_nocons_amphibia,bd_value_imp_sc2_nocons_aves,bd_value_imp_sc2_nocons_crenvu,bd_value_imp_sc2_nocons_mammalia,bd_value_imp_sc1_nocons_allsp,bd_value_imp_sc1_nocons_amphibia,bd_value_imp_sc1_nocons_aves,bd_value_imp_sc1_nocons_crenvu,bd_value_imp_sc1_nocons_mammalia
GLR_367,-0.443754822,-0.049980315,-0.248881647,-0.07383843,-0.144892861,-0.444487689,-0.05006337,-0.249370854,-0.073872904,-0.145053464,-0.446748748,-0.050315532,-0.250844833,-0.073995412,-0.145588383,-0.451775677,-0.050871209,-0.254079104,-0.074287329,-0.146825363,2.855380759,0.491202668,1.715853405,0.233850311,0.648324685,2.700011057,0.464193212,1.693827467,0.195131464,0.541990378,2.829282861,0.48129852,1.775942784,0.206358842,0.572041558,2.806961882,0.481687956,1.757857717,0.206471854,0.567416209,2.83262232,0.48454982,1.771217607,0.210640077,0.576854893
GLR_370,-0.006476885,-0.000288359,-0.004926926,-0.0000826,-0.001261599,-0.00683245,-0.000310249,-0.005199074,-0.0000857,-0.001323127,-0.007045784,-0.000323383,-0.005362359,-0.0000876,-0.001360042,-0.031199994,-0.000443891,-0.015423609,-0.002699246,-0.015332493,0.70713955,0.026448724,0.392955761,0.049392379,0.287735065,0.703832783,0.026287315,0.392581251,0.049680621,0.284964217,0.704203115,0.026238974,0.392935958,0.049749379,0.285028182,0.705239295,0.026272412,0.393572124,0.049843804,0.285394758,0.691913601,0.026187576,0.385956749,0.047634842,0.279769276
GLR_372,0.0000891,-0.000705556,-0.000289775,0.000188093,0.001084434,0.0000857,-0.000698345,-0.000288499,0.000185885,0.001072556,0.0000823,-0.000691134,-0.000287223,0.000183676,0.001060678,0.0000823,-0.000691134,-0.000287223,0.000183676,0.001060678,0.639059207,0.015356877,0.479279,0.136283617,0.144423331,0.665337735,0.014884472,0.504328051,0.138083913,0.146125213,0.671977085,0.014879908,0.509986158,0.138262183,0.147111019,0.671466082,0.01491521,0.509605867,0.13853597,0.146945006,0.682103579,0.014951592,0.515620103,0.13983168,0.151531883
GLR_373,-0.014885143,0.0000455,-0.00759419,-0.000163253,-0.007336436,-0.00254875,0.0000525,-0.002229183,-0.00016848,-0.000372075,-0.002608528,0.0000409,-0.002274877,-0.000167176,-0.000374599,-0.002659273,0.0000437,-0.002314604,-0.00016974,-0.000388408,0.186839316,0.009240719,0.129099403,0.009919339,0.048499194,0.159951177,0.009370311,0.114319229,0.010029592,0.036261637,0.159028922,0.00934995,0.113748299,0.010088073,0.035930674,0.159156375,0.009361609,0.113879138,0.010091778,0.035915629,0.160701941,0.009382128,0.114591068,0.010194971,0.036728745
GLR_374,-0.042705474,-0.023269165,-0.018708679,-0.020897592,-0.00072763,-0.044025267,-0.023828751,-0.019213588,-0.02137438,-0.000982928,-0.052876976,-0.027673852,-0.022498755,-0.024710682,-0.002704369,-0.068006884,-0.034570346,-0.027757419,-0.030901406,-0.00567912,2.508877156,0.878631755,0.995869454,0.724517813,0.634375947,1.418589248,0.597393243,0.636844151,0.287128239,0.184351854,1.440657159,0.615413511,0.638508123,0.30531618,0.186735525,1.434898458,0.613018193,0.636292907,0.302671194,0.185587358,1.431867898,0.611948578,0.634963291,0.301030848,0.184956028
GLR_378,-0.022909213,0.001480438,-0.022037734,-0.001072724,-0.002351916,-0.022835521,0.00153809,-0.021960498,-0.001085163,-0.002413113,-0.022683498,0.001657023,-0.021801163,-0.001110826,-0.002539358,-0.022859189,0.001519573,-0.021985304,-0.001081168,-0.002393458,0.369669871,0.01054228,0.306707476,0.025552009,0.052420115,0.213183043,0.012198726,0.181647144,0.024702727,0.019337172,0.213022022,0.012235352,0.181525495,0.024709678,0.019261176,0.213639371,0.012386705,0.182142452,0.024720725,0.019110213,0.215132707,0.012271414,0.183381566,0.024991308,0.019479727
GLR_381,-0.8312738,-0.113517193,-0.495194248,-0.118243133,-0.222562359,-0.83531329,-0.114450353,-0.49742708,-0.119062197,-0.223435857,-0.841596976,-0.116803161,-0.4997288,-0.121493285,-0.225065015,-0.86209746,-0.122912351,-0.509275045,-0.127413201,-0.229910063,2.145602279,0.357664598,1.369339948,0.308176519,0.418597732,1.411091617,0.299724539,0.886674132,0.248068969,0.224692947,1.455090351,0.32874179,0.890144562,0.277778425,0.236203998,1.448133133,0.326467048,0.888854342,0.274914526,0.232811743,1.439641391,0.323490458,0.885232797,0.272807335,0.230918136
GLR_389,-3.778918463,-0.220029421,-2.368615624,-0.527497634,-1.190273418,-3.811433231,-0.224033729,-2.383405075,-0.536934456,-1.203994427,-3.801055924,-0.222879384,-2.377996612,-0.534505201,-1.200179928,-3.805897773,-0.223500144,-2.380239285,-0.53587141,-1.202158344,5.334290063,0.432255282,3.511453278,0.620612624,1.390581503,1.797381183,0.231407786,1.293349605,0.144002015,0.272623792,1.77463811,0.230475511,1.28074654,0.127086565,0.263416059,1.79222337,0.233853204,1.291108865,0.13443935,0.267261301,1.7919261,0.234528627,1.291700986,0.132446127,0.265696487
GLR_391,-0.00000215,-0.000000201,-0.00000226,-0.000000021,0.000000307,-0.00000215,-0.000000201,-0.00000226,-0.000000021,0.000000307,-0.00000215,-0.000000201,-0.00000226,-0.000000021,0.000000307,-0.00000215,-0.000000201,-0.00000226,-0.000000021,0.000000307,0.096574204,0.001317991,0.093604396,0.035371325,0.001651817,0.102266163,0.001424448,0.099233331,0.035693597,0.001608385,0.103117185,0.001445288,0.100030728,0.035719107,0.001641169,0.103142179,0.00144172,0.10006909,0.035796604,0.001631369,0.104521873,0.001449239,0.101415922,0.036125058,0.001656712
GLR_392,19.83500929,0.000223783,-0.00264974,-0.0003606,19.83743525,24.17198312,0.000384554,-0.002677293,-0.00037682,24.17427586,24.09044772,0.000309333,-0.003040274,-0.000416483,24.09317866,25.73527751,0.00021902,-0.003808542,-0.000505977,25.73886703,2.487491814,0.246964928,1.075687972,0.117778289,1.164838914,2.558383337,0.243558559,1.131562748,0.138459615,1.18326203,2.566302308,0.244035212,1.140749235,0.141400594,1.181517862,2.567177192,0.244129218,1.141739464,0.140785416,1.181308509,2.583976775,0.244805146,1.155815864,0.142271902,1.183355765
GLR_393,-0.000205999,0.00000935,-0.000206764,-0.000006,-0.00000858,-0.000205999,0.00000935,-0.000206764,-0.000006,-0.00000858,-0.000246374,-0.0000028,-0.00024753,-0.00000427,0.00000395,-0.000320482,0.0000031,-0.000297072,-0.00000693,-0.0000265,0.261058444,0.009912474,0.219093313,0.027338932,0.032052657,0.264674082,0.010101493,0.223396724,0.027477147,0.031175864,0.265740607,0.0100892,0.224369358,0.027487329,0.031282048,0.266135879,0.010098685,0.224727713,0.027550444,0.03130948,0.268894194,0.010128138,0.226809411,0.027792327,0.031956645
