cell_id,mf2050,polf2050,secf2050,susf2050
GLR_333,0,114.1712621446,114.1712621474,114.1712621569
GLR_334,0,85.6978705072,85.6978705071,85.6978705071
GLR_335,0,651.265918701,0,0
GLR_336,0,0,0,0
GLR_337,0,0,0,0
GLR_338,0,0,0,0
GLR_339,0,0,0,0
GLR_340,20.8484617347,20.8484617342,20.8484617342,20.8484617342
GLR_341,7299.5103452595,7582.1693658053,6401.3586986225,7716.5115261173
GLR_342,0,277.482886373,277.482886378,277.482886377
GLR_343,0,188.232217792,102.753176232,188.232217792
GLR_344,80.3681552798,80.36815528,80.36815528,80.36815528
GLR_345,3119.5829837697,3233.7607784172,2669.8444440537,3400.2730602494
GLR_346,231.395526397,231.395526396,231.395526396,231.395526396
GLR_347,252.9878060604,302.716909071,213.2514856557,204.9995940121
GLR_348,272.769736884,293.3494496123,272.769736886,293.3494496033
GLR_349,67.782562612,67.7825626116,67.7825626116,67.7825626116
GLR_350,791.390246545,1027.9306364033,594.8865175759,600.545833713
GLR_351,0,18.347648588,18.3476485884,18.3476485884
GLR_352,72.1391289349,72.1391289349,72.1391289349,72.1391289349
GLR_353,442.3029994899,747.9333197379,1026.4661587757,894.9199339119
GLR_354,0,0,51.9090460659,14.1540273533
GLR_355,0,332.244015449,370.822624832,332.244015449
GLR_356,0,0,216.9312613131,27.2157691303
GLR_357,0,0,0,0
GLR_358,490.752836843,492.8342483792,823.7191202276,527.4310882313
GLR_359,139.7461523722,295.7120831436,376.3695642478,329.4870816004
GLR_360,210.451856729,332.3857332076,618.9418515213,376.7950424946
GLR_361,0,19.574203636,0,28.446618849
GLR_362,25.8838730093,25.8838730093,25.8838730093,25.8838730093
GLR_363,0,203.6526663997,292.4556197314,210.9427683011
GLR_364,0,0,41.5166923255,0
GLR_365,0,0,0,0
GLR_366,0,2.99905877909623E-010,204.080051714,0
GLR_367,0,0,0,0
GLR_368,0,0,30.9837115145,0
GLR_369,0,0,5.4076081806,0
GLR_370,14.433194597,14.4331945968,0,50.4213799308
GLR_371,0,0,207.649473901,0
GLR_372,0,394.4967539047,607.4640905429,607.4640905437
GLR_373,331.7416679439,331.741667942,321.598872162,331.741667942
GLR_374,303.252093549,303.252093551,216.494632633,303.252093551
GLR_375,0,0,0,0
GLR_376,0,7.947857154,161.202356308,56.061689058
GLR_377,0,0,0,0
GLR_378,4.99994712299667E-010,15.2903573695,15.2903573695,15.2903573695
GLR_379,1.00044417195022E-010,609.2569221312,1127.4620135318,1058.6970057683
GLR_380,0,0,0,0
GLR_381,190.0234940651,275.4043529307,124.506754762,372.805751192
GLR_382,0,0,0,0
GLR_383,166.9011623347,187.1023683392,1689.7272740259,958.7039000703
GLR_384,0,45.5124205782,45.512420583,45.512420579
GLR_385,0,0,0,0
GLR_386,0,0,0,0
GLR_387,0,0,0,0
GLR_388,0,0,0,0
GLR_389,0,308.832860343,220.9507502864,327.708061345
GLR_390,0,0,0,0
GLR_391,7.99929011918721E-011,7.99929011918721E-011,7.99929011918721E-011,7.99929011918721E-011
GLR_392,231.8670930773,171.8015208881,210.7237159281,216.4827455453
GLR_393,0,0,0,0
GLR_394,47.0402547792,126.6961974489,75.4353143769,155.0912570466
GLR_395,0,162.615835344,169.984150374,169.984150378
GLR_396,64.1606751504,74.2055092887,165.5220871989,259.5500597824
GLR_397,0,0,130.8946450876,130.8946450874
MEK_1,0,21.0238833016,0,0
MEK_2,0,0,0,0
MEK_3,0,1141.12033428,0,0
MEK_4,0,0,0,0
MEK_5,32.2889496771,16540.871028935,21.2322042011,0
