field_name,ef_value_imp_bas_nocons_comprov,ef_value_imp_bas_nocons_wildprov,ef_value_imp_bas_nocons_regprov,ef_value_imp_bas_nocons_totef,ef_value_imp_sc4_nocons_comprov,ef_value_imp_sc4_nocons_wildprov,ef_value_imp_sc4_nocons_regprov,ef_value_imp_sc4_nocons_totef,ef_value_change_sc4_nocons_comprovch ,ef_value_change_sc4_nocons_wildprovch ,ef_value_change_sc4_nocons_regprovch ,ef_value_change_sc4_nocons_totefch ,ef_value_imp_sc3_nocons_comprov,ef_value_imp_sc3_nocons_wildprov,ef_value_imp_sc3_nocons_regprov,ef_value_imp_sc3_nocons_totef,ef_value_change_sc3_nocons_comprovch ,ef_value_change_sc3_nocons_wildprovch ,ef_value_change_sc3_nocons_regprovch ,ef_value_change_sc3_nocons_totefch ,ef_value_imp_sc2_nocons_comprov,ef_value_imp_sc2_nocons_wildprov,ef_value_imp_sc2_nocons_regprov,ef_value_imp_sc2_nocons_totef,ef_value_change_sc2_nocons_comprovch ,ef_value_change_sc2_nocons_wildprovch ,ef_value_change_sc2_nocons_regprovch ,ef_value_change_sc2_nocons_totefch ,ef_value_imp_sc1_nocons_comprov,ef_value_imp_sc1_nocons_wildprov,ef_value_imp_sc1_nocons_regprov,ef_value_imp_sc1_nocons_totef,ef_value_change_sc1_nocons_comprovch ,ef_value_change_sc1_nocons_wildprovch ,ef_value_change_sc1_nocons_regprovch ,ef_value_change_sc1_nocons_totefch 
GLR_200,0.000121156,0.022013567,0.020956483,0.043091207,0.000199613,0.020923223,0.032096482,0.053219318,0.000106013,-0.001460543,-0.001450841,-0.002805372,0.000193399,0.020926722,0.036456015,0.057576136,0.00010533,-0.001553282,-0.001538814,-0.002986766,0.000185942,0.020768981,0.034692557,0.05564748,0.0000939,-0.001679252,-0.001658309,-0.003243684,0.000156232,0.020447013,0.035245663,0.055848908,0.0000593,-0.002047435,-0.00200757,-0.003995696
GLR_211,0.007270413,0.010320654,0.017258432,0.034849499,0.007714889,0.010111669,0.013433326,0.031259884,0.001509493,-0.003471209,-0.010148706,-0.012110422,0.007493982,0.011478481,0.015953566,0.03492603,0.001505674,-0.003519504,-0.010194519,-0.012208349,0.007568445,0.010988864,0.014996102,0.033553411,0.001482157,-0.003534574,-0.010208815,-0.012261232,0.007540464,0.011266557,0.015555043,0.034362064,0.001439697,-0.003609653,-0.010280035,-0.012449991
GLR_226,0.001425389,0.003486795,0.001513515,0.006425699,0.001479305,0.003736921,0.002577553,0.007793779,0.00025813,-0.001355097,-0.000196067,-0.001293034,0.001437572,0.004437633,0.003105528,0.008980734,0.00025813,-0.001355097,-0.000196067,-0.001293034,0.001455757,0.004202716,0.002914875,0.008573348,0.00025813,-0.001355097,-0.000196067,-0.001293034,0.001457446,0.004376259,0.003055512,0.008889216,0.00025813,-0.001355097,-0.000196067,-0.001293034
GLR_229,0.006938049,0.008069364,0.004704983,0.019712396,0.00780768,0.008205203,0.008567185,0.024580067,0.001947458,-0.003388769,-0.0000588,-0.001500142,0.007587417,0.009743764,0.010100422,0.027431602,0.001947458,-0.003388769,-0.0000588,-0.001500142,0.007683397,0.009227953,0.009554839,0.026466189,0.001947458,-0.003388769,-0.0000588,-0.001500142,0.007692307,0.009609003,0.009963976,0.027265286,0.001947458,-0.003388769,-0.0000588,-0.001500142
GLR_277,0.000150576,0.000841902,0.003069722,0.0040622,0.000132311,0.001626804,0.005390318,0.007149433,0,0.0000861,0,0.0000861,0.000128578,0.001931846,0.006289486,0.00834991,0,0.0000861,0,0.0000861,0.000130205,0.001829579,0.005972614,0.007932398,0,0.0000861,0,0.0000861,0.000130356,0.001905128,0.006213121,0.008248604,0,0.0000861,0,0.0000861
GLR_278,0.001068018,0.002781418,0.008916544,0.012765981,0.001186768,0.003106082,0.00963544,0.01392829,0.000282579,-0.001009577,-0.003493981,-0.004220979,0.001153288,0.003674187,0.011230417,0.016057892,0.000282579,-0.001016455,-0.003520575,-0.004254451,0.001161792,0.003479685,0.010649974,0.015291451,0.000275542,-0.001016455,-0.003520575,-0.004261488,0.001163139,0.003623371,0.011088786,0.015875297,0.000275542,-0.001016455,-0.003520575,-0.004261488
GLR_279,0.00000449,0.000130316,0.000426478,0.000561288,0.00000395,0.000228447,0.000754857,0.000987253,0,0,0,0,0.00000384,0.000271283,0.00088277,0.001157891,0,0,0,0,0.00000389,0.000256922,0.000837597,0.001098406,0,0,0,0,0.00000389,0.000267531,0.000871798,0.00114322,0,0,0,0
GLR_281,0.003632439,0.006533269,0.025174522,0.035340231,0.0035645,0.007640006,0.029343446,0.040547952,0.00042413,-0.002175087,-0.008410318,-0.010161275,0.003742216,0.007027942,0.026456384,0.037226542,0.000750013,-0.003157269,-0.012208083,-0.014615339,0.003787188,0.006664159,0.025164945,0.035616291,0.000747275,-0.00315308,-0.012191884,-0.014597688,0.00379395,0.006930742,0.02613875,0.036863441,0.000750013,-0.003157269,-0.012208083,-0.014615339
GLR_282,0.00376398,0.015402363,0.053104888,0.072271231,0.00502223,0.016638682,0.058050487,0.079711398,0.001951554,-0.005910954,-0.020121405,-0.024080805,0.006614284,0.013186297,0.042976725,0.062777305,0.003981906,-0.009068084,-0.032279874,-0.037366052,0.00593515,0.015194057,0.051029323,0.072158529,0.003099756,-0.007695644,-0.026994152,-0.03159004,0.006575942,0.013474906,0.044232667,0.064283515,0.003831996,-0.008838666,-0.031392795,-0.036399465
GLR_283,0.005201216,0.00813692,0.030337381,0.043675516,0.007152553,0.004421846,0.015586484,0.027160883,0.002938727,-0.005614512,-0.021492789,-0.024168574,0.007653158,0.001846928,0.005344729,0.014844814,0.00376128,-0.007249714,-0.027788178,-0.031276612,0.007471383,0.003070147,0.010038913,0.020580442,0.003439106,-0.006579682,-0.025223995,-0.028364571,0.007680545,0.0019485,0.005760514,0.015389559,0.003670705,-0.007187795,-0.027548759,-0.031065849
GLR_284,0.004917205,0.013378018,0.022465494,0.040760717,0.007123541,0.006708144,0.017930417,0.031762102,0.00318972,-0.009551409,-0.01264166,-0.019003349,0.006937933,0.007908705,0.020841178,0.035687816,0.003207702,-0.009578927,-0.012748064,-0.019119289,0.007014036,0.007530728,0.019897045,0.034441808,0.003194215,-0.009558288,-0.012668261,-0.019032333,0.007022169,0.007841695,0.020729915,0.035593779,0.003194215,-0.009558288,-0.012668261,-0.019032333
