Field_name,percent_wdpa_filter
GLR_342,7.8037767172
GLR_343,8.4071785306
GLR_344,20.0156889899
GLR_345,14.8050011839
GLR_346,6.5779489158
GLR_347,41.3179829293
GLR_348,9.9166314543
GLR_349,18.4640104594
GLR_35,11.4204897385
GLR_350,32.5044908038
GLR_351,0
GLR_352,34.0874411949
GLR_353,0.2886350656
GLR_354,58.9713853171
GLR_355,0.0965782052
GLR_356,0.0660458666
GLR_357,100
GLR_358,33.5288108934
GLR_359,13.6560757505
GLR_36,24.0962713984
GLR_360,41.3624991055
GLR_361,14.4402894411
GLR_362,0
GLR_363,46.5636167667
GLR_364,1.5468689582
GLR_365,0
GLR_366,1.3709013487
GLR_367,8.3802674761
GLR_368,20.5229246676
GLR_369,77.4818395078
GLR_37,5.0046932617
GLR_370,0
GLR_371,65.1686626177
GLR_372,29.6062412749
GLR_373,0
GLR_374,6.817674375
GLR_375,0
GLR_376,52.8881107184
GLR_377,0
GLR_378,0
GLR_379,40.5726138192
GLR_38,22.8581823989
GLR_380,93.826284551
GLR_381,2.1339900496
GLR_382,0
GLR_383,20.2708290655
GLR_384,23.312855225
GLR_385,0.23102199
GLR_386,0
GLR_387,1.6583398483
GLR_388,41.9682157236
GLR_389,4.9410958488
GLR_39,0
GLR_390,19.0073952793
GLR_391,0
GLR_392,1.3259008351
GLR_393,0
GLR_394,0
GLR_395,2.7940182439
GLR_396,0.1651056567
GLR_397,3.9818003036
GLR_4,2.0450432727
GLR_40,5.112251951
GLR_41,9.7524902819
GLR_42,1.2202647706
GLR_43,27.3841546204
GLR_44,17.8955024591
GLR_45,19.7483000774
GLR_46,0.6984692179
GLR_47,10.7991588019
GLR_48,0
GLR_49,0
GLR_5,0.3333114312
GLR_50,44.8047875313
GLR_51,14.8737405358
GLR_52,0
GLR_53,99.6971513636
GLR_54,28.008730337
GLR_55,30.5339916644
GLR_56,10.4452331685
GLR_57,100
GLR_58,12.7097059569
GLR_59,86.1526734929
GLR_6,2.0588376231
GLR_60,40.5815713091
GLR_61,2.2755569788
GLR_62,2.5097257662
GLR_63,0
GLR_64,0
GLR_65,0
GLR_66,5.6561667991
GLR_67,1.8036768335
GLR_68,0.1074073899
GLR_69,0.0821543008
GLR_7,0.8454729338
GLR_70,7.6644829558
GLR_71,7.6786707213
GLR_72,0
GLR_73,20.1117565789
GLR_74,8.8591682583
GLR_75,2.6823172419
GLR_76,11.809568699
GLR_77,19.6927184346
GLR_78,7.7375688544
GLR_79,3.1894330778
GLR_8,0
GLR_80,11.9234936716
GLR_81,9.0977160171
GLR_82,8.0413220025
GLR_83,0
GLR_84,37.7424091412
GLR_85,8.8289938073
GLR_86,44.7464532856
GLR_87,24.5529528286
GLR_88,34.448216124
GLR_89,0.6505226664
GLR_9,1.7536106132
GLR_90,1.1797165865
GLR_91,70.8629001331
GLR_92,14.1436651
GLR_93,35.8184910498
GLR_94,0
GLR_95,0
GLR_96,0
GLR_97,99.9992927655
GLR_98,0
GLR_99,36.439189517
MEK_1,98.3226101819
MEK_10,10.0344739054
MEK_11,18.6686717503
MEK_12,7.1966638896
MEK_13,2.4311985828
MEK_14,22.9251172279
MEK_15,20.8625334469
MEK_16,8.4851926707
MEK_17,6.207739241
MEK_18,12.8624538642
MEK_19,13.5759684592
MEK_2,63.4366651614
MEK_20,14.9025327517
MEK_21,5.3377989594
MEK_22,9.4095820943
MEK_23,44.667338617
MEK_24,22.7021871615
MEK_25,16.8080193355
MEK_26,11.4227047248
MEK_27,7.5970885937
MEK_28,19.1202696543
MEK_29,45.4288827446
MEK_3,56.6064133231
MEK_30,10.6614428063
MEK_31,39.0883017765
MEK_32,25.5614045392
MEK_33,17.1704118853
MEK_34,37.2924665194
MEK_35,21.2728526874
MEK_36,34.7643335711
MEK_37,18.0303495069
MEK_38,0.8498877728
MEK_39,31.9962854954
MEK_4,0.0193943209
MEK_41,0.1468313542
MEK_42,10.25322858
MEK_43,4.7140008559
MEK_5,18.1379559745
MEK_6,8.2986705209
MEK_7,13.1715805159
MEK_8,0.4597044801
MEK_9,7.5105207669
WAN_1,59.1202577939
WAN_10,26.6124303217
WAN_11,18.2542237936
WAN_12,15.5495673872
WAN_13,15.2565554635
WAN_14,5.6500556556
WAN_15,99.8016113514
WAN_16,41.1425966223
WAN_17,15.8926352688
WAN_2,21.5970634521
WAN_3,26.2981040603
WAN_4,59.3703864465
WAN_5,36.4028445981
WAN_6,64.9267477685
WAN_7,28.6743407899
WAN_8,15.1693739109
WAN_9,34.2705293453
